slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,num_servers,num_clients,ppc,fpp,segments,xfer_size,block_size,cont_rf,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
2910900,ior_easy_1to4_sx,2021-05-04 10:40:26,2021-05-04 10:47:59,7771ab9,SX,1,4,32,,,,,,,,,Pass,,11.30,11.41
2910912,ior_easy_1to4_sx,2021-05-04 11:03:29,2021-05-04 11:12:26,7771ab9,SX,2,8,32,,,,,,,,,Pass,,21.56,22.63
2910914,ior_easy_1to4_sx,2021-05-04 11:16:47,2021-05-04 11:24:50,7771ab9,SX,4,16,32,,,,,,,,,Pass,,41.49,45.20
2910913,ior_easy_1to4_sx,2021-05-04 11:19:54,2021-05-04 11:28:12,7771ab9,SX,8,32,32,,,,,,,,,Pass,,82.99,89.72
2910982,ior_easy_c16_sx,2021-05-04 11:42:38,2021-05-04 11:52:01,7771ab9,SX,1,16,32,,,,,,,,,Pass,,10.39,11.42
2910980,ior_easy_c16_sx,2021-05-04 11:41:03,2021-05-04 11:49:31,7771ab9,SX,2,16,32,,,,,,,,,Pass,,22.10,22.73
2910984,ior_easy_c16_sx,2021-05-04 11:42:38,2021-05-04 11:50:56,7771ab9,SX,8,16,32,,,,,,,,,Pass,,75.58,88.83
2910981,ior_easy_c16_sx,2021-05-04 11:41:03,2021-05-04 11:48:06,7771ab9,SX,16,16,32,,,,,,,,,Pass,,127.34,164.26
2910983,ior_easy_c16_sx,2021-05-04 11:41:03,2021-05-04 11:47:57,7771ab9,SX,32,16,32,,,,,,,,,Pass,,174.90,165.32
2911015,ior_easy_c16_sx,2021-05-04 12:01:38,2021-05-04 12:08:46,7771ab9,SX,64,16,32,,,,,,,,,Pass,,171.42,156.52
2916037,ior_easy_c16_sx,2021-05-05 10:43:56,2021-05-05 10:51:01,7771ab9,SX,128,16,32,,,,,,,,,Pass,,162.89,164.61
2911031,ior_hard_1to4_sx,2021-05-04 12:03:20,2021-05-04 12:10:24,7771ab9,SX,1,4,32,,,,,,,,,Pass,,5.37,6.85
2911034,ior_hard_1to4_sx,2021-05-04 12:03:20,2021-05-04 12:09:52,7771ab9,SX,2,8,32,,,,,,,,,Pass,,10.16,13.05
2911033,ior_hard_1to4_sx,2021-05-04 12:10:14,2021-05-04 12:16:47,7771ab9,SX,4,16,32,,,,,,,,,Pass,,19.40,25.12
2911032,ior_hard_1to4_sx,2021-05-04 12:03:20,2021-05-04 12:10:07,7771ab9,SX,8,32,32,,,,,,,,,Pass,,37.70,48.48
2916049,ior_hard_1to4_sx,2021-05-05 09:30:21,,7771ab9,SX,16,64,32,,,,,,,,"did not finish,read failed",Fail,,70.83,0.00
2911058,ior_hard_c16_sx,2021-05-04 12:20:14,2021-05-04 12:27:53,7771ab9,SX,1,16,32,,,,,,,,,Pass,,5.25,6.65
2911060,ior_hard_c16_sx,2021-05-04 12:20:14,2021-05-04 12:26:47,7771ab9,SX,2,16,32,,,,,,,,,Pass,,10.09,12.84
2911059,ior_hard_c16_sx,2021-05-04 12:20:14,2021-05-04 12:26:43,7771ab9,SX,8,16,32,,,,,,,,,Pass,,36.97,47.23
2911184,ior_hard_c16_sx,2021-05-04 13:05:38,2021-05-04 13:11:57,7771ab9,SX,16,16,32,,,,,,,,,Pass,,58.19,73.41
2911197,ior_hard_c16_sx,2021-05-04 13:25:33,2021-05-04 13:32:24,7771ab9,SX,32,16,32,,,,,,,,,Pass,,80.89,96.10
2911225,ior_hard_c16_sx,2021-05-04 14:41:06,2021-05-04 14:48:14,7771ab9,SX,64,16,32,,,,,,,,,Pass,,87.75,108.26
2916066,ior_hard_c16_sx,2021-05-05 12:00:03,2021-05-05 12:06:40,7771ab9,SX,128,16,32,,,,,,,,,Pass,,74.26,93.56
